Día,Valor,Drawdown,Régimen
327,12939.14,-2.66,EXPANSION
328,13023.20,-2.03,EXPANSION
329,13085.37,-1.56,EXPANSION
330,13130.39,-1.22,EXPANSION
331,13166.53,-0.95,EXPANSION
332,13180.20,-0.85,EXPANSION
333,13199.97,-0.70,EXPANSION
334,13214.72,-0.59,EXPANSION
335,13221.82,-0.53,EXPANSION
336,13316.01,0.00,EXPANSION
337,13298.30,-0.13,EXPANSION
338,13292.76,-0.17,EXPANSION
339,13250.11,-0.49,EXPANSION
340,13289.26,-0.20,EXPANSION
341,13293.38,-0.17,EXPANSION
342,13268.26,-0.36,EXPANSION
343,13326.09,0.00,EXPANSION
344,13292.23,-0.25,EXPANSION
345,13309.64,-0.12,EXPANSION
346,13308.53,-0.13,EXPANSION
347,13280.55,-0.34,EXPANSION
348,13287.43,-0.29,EXPANSION
349,13212.10,-0.86,EXPANSION
350,13195.26,-0.98,EXPANSION
351,13179.65,-1.10,EXPANSION
352,13152.22,-1.30,EXPANSION
353,13163.60,-1.22,EXPANSION
354,13206.00,-0.90,EXPANSION
355,13170.87,-1.16,EXPANSION
356,13110.18,-1.62,EXPANSION
357,13144.56,-1.36,EXPANSION
358,13237.66,-0.66,EXPANSION
359,13302.48,-0.18,EXPANSION
360,13331.28,0.00,EXPANSION
361,13325.71,-0.04,EXPANSION
362,13428.87,0.00,EXPANSION
363,13407.69,-0.16,EXPANSION
364,13386.38,-0.32,EXPANSION
365,13108.63,-2.38,EXPANSION
366,13110.33,-2.37,EXPANSION
367,13066.45,-2.70,EXPANSION
368,13192.80,-1.76,EXPANSION
369,13028.32,-2.98,EXPANSION
370,13061.25,-2.74,EXPANSION
371,13161.25,-1.99,EXPANSION
372,13117.99,-2.32,EXPANSION
373,13115.33,-2.33,EXPANSION
374,13125.79,-2.26,EXPANSION
375,13157.01,-2.02,EXPANSION
376,13169.21,-1.93,EXPANSION
377,13307.07,-0.91,EXPANSION
378,13356.04,-0.54,EXPANSION
379,13291.15,-1.03,EXPANSION
380,13290.48,-1.03,EXPANSION
381,13284.96,-1.07,EXPANSION
382,13207.97,-1.64,EXPANSION
383,13254.59,-1.30,EXPANSION
384,13266.83,-1.21,EXPANSION
385,13224.32,-1.52,EXPANSION
386,13305.38,-0.92,EXPANSION
387,13318.28,-0.82,EXPANSION
388,13308.95,-0.89,EXPANSION
389,13267.70,-1.20,EXPANSION
390,13123.70,-2.27,EXPANSION
391,13177.20,-1.87,EXPANSION
392,13154.64,-2.04,EXPANSION
393,13177.06,-1.88,EXPANSION
394,13182.96,-1.83,EXPANSION
395,13175.99,-1.88,EXPANSION
396,13226.38,-1.51,EXPANSION
397,13140.51,-2.15,EXPANSION
398,13130.14,-2.22,EXPANSION
399,13095.95,-2.48,EXPANSION
400,13112.17,-2.36,EXPANSION
401,13107.24,-2.40,EXPANSION
402,13115.76,-2.33,EXPANSION
403,13096.10,-2.48,EXPANSION
404,13169.76,-1.93,EXPANSION
405,13159.24,-2.01,EXPANSION
406,13139.36,-2.16,EXPANSION
407,13134.83,-2.19,EXPANSION
408,13205.46,-1.66,EXPANSION
409,13204.84,-1.67,EXPANSION
410,13234.22,-1.45,EXPANSION
411,13235.11,-1.44,EXPANSION
412,13258.95,-1.27,EXPANSION
413,13258.58,-1.27,EXPANSION
414,13238.88,-1.41,EXPANSION
415,13305.17,-0.92,EXPANSION
416,13272.50,-1.16,EXPANSION
417,13269.81,-1.18,EXPANSION
418,13257.26,-1.28,EXPANSION
419,13266.33,-1.21,EXPANSION
420,13086.65,-2.55,EXPANSION
421,13094.17,-2.49,EXPANSION
422,13094.64,-2.49,EXPANSION
423,13115.62,-2.33,EXPANSION
424,13258.60,-1.27,EXPANSION
425,13324.84,-0.77,EXPANSION
426,13334.29,-0.70,EXPANSION
427,13233.93,-1.45,EXPANSION
428,13203.60,-1.68,EXPANSION
429,13174.48,-1.89,EXPANSION
430,13166.63,-1.95,EXPANSION
431,13076.60,-2.62,EXPANSION
432,13248.27,-1.34,EXPANSION
433,13336.59,-0.69,EXPANSION
434,13384.30,-0.33,EXPANSION
435,13359.36,-0.52,EXPANSION
436,13359.44,-0.52,EXPANSION
437,13308.54,-0.90,EXPANSION
438,13411.43,-0.13,EXPANSION
439,13500.13,0.00,EXPANSION
440,13391.83,-0.80,EXPANSION
441,13380.60,-0.89,EXPANSION
442,13400.37,-0.74,EXPANSION
443,13383.95,-0.86,EXPANSION
444,13375.12,-0.93,EXPANSION
445,13423.06,-0.57,EXPANSION
446,13411.76,-0.65,EXPANSION
447,13356.62,-1.06,EXPANSION
448,13250.09,-1.85,EXPANSION
449,13370.37,-0.96,EXPANSION
450,13353.45,-1.09,EXPANSION
451,13360.27,-1.04,EXPANSION
452,13372.41,-0.95,EXPANSION
453,13440.76,-0.44,EXPANSION
454,13624.84,0.00,EXPANSION
455,13676.13,0.00,EXPANSION
456,13745.39,0.00,EXPANSION
457,13750.17,0.00,EXPANSION
458,13737.51,-0.09,EXPANSION
459,13730.49,-0.14,EXPANSION
460,13840.97,0.00,EXPANSION
461,13689.71,-1.09,EXPANSION
462,13706.89,-0.97,EXPANSION
463,13736.28,-0.76,EXPANSION
464,13751.31,-0.65,EXPANSION
465,13750.56,-0.65,EXPANSION
466,13760.04,-0.58,EXPANSION
467,13803.11,-0.27,EXPANSION
468,13851.15,0.00,EXPANSION
469,13894.36,0.00,EXPANSION
470,14043.29,0.00,EXPANSION
471,13992.15,-0.36,EXPANSION
472,13986.19,-0.41,EXPANSION
473,14012.05,-0.22,EXPANSION
474,14130.36,0.00,EXPANSION
475,14161.33,0.00,EXPANSION
476,14227.41,0.00,EXPANSION
477,14130.42,-0.68,EXPANSION
478,14135.76,-0.64,EXPANSION
479,14209.30,-0.13,EXPANSION
480,14257.63,0.00,EXPANSION
481,14437.20,0.00,EXPANSION
482,14771.56,0.00,EXPANSION
483,14625.45,-0.99,EXPANSION
484,14433.40,-2.29,EXPANSION
485,14448.20,-2.19,EXPANSION
486,14454.23,-2.15,EXPANSION
487,14469.83,-2.04,EXPANSION
488,14666.96,-0.71,EXPANSION
489,14478.95,-1.98,EXPANSION
490,14552.48,-1.48,EXPANSION
491,14700.89,-0.48,EXPANSION
492,14686.47,-0.58,EXPANSION
493,14695.28,-0.52,EXPANSION
494,14720.52,-0.35,EXPANSION
495,14886.07,0.00,EXPANSION
496,14703.30,-1.23,EXPANSION
497,14768.86,-0.79,EXPANSION
498,14805.88,-0.54,EXPANSION
499,14870.06,-0.11,EXPANSION
500,14876.80,-0.06,EXPANSION
501,14980.46,0.00,EXPANSION
502,15124.55,0.00,EXPANSION
503,15185.56,0.00,EXPANSION
504,15158.40,-0.18,EXPANSION
505,15204.08,0.00,EXPANSION
506,15207.91,0.00,EXPANSION
507,15203.55,-0.03,EXPANSION
508,15122.04,-0.56,EXPANSION
509,15229.99,0.00,EXPANSION
510,15236.25,0.00,EXPANSION
511,15268.48,0.00,EXPANSION
512,15375.26,0.00,EXPANSION
513,15399.69,0.00,EXPANSION
514,15370.74,-0.19,EXPANSION
515,15399.56,-0.00,EXPANSION
516,15491.09,0.00,EXPANSION
517,15561.05,0.00,EXPANSION
518,15455.53,-0.68,EXPANSION
519,15530.97,-0.19,EXPANSION
520,15562.19,0.00,EXPANSION
521,15551.91,-0.07,EXPANSION
522,15648.30,0.00,EXPANSION
523,15730.85,0.00,EXPANSION
524,15769.86,0.00,EXPANSION
525,15804.42,0.00,EXPANSION
526,15848.46,0.00,EXPANSION
527,15864.12,0.00,EXPANSION
528,15851.71,-0.08,EXPANSION
529,15912.89,0.00,EXPANSION
530,16022.06,0.00,EXPANSION
531,15994.19,-0.17,EXPANSION
532,16057.63,0.00,EXPANSION
533,16062.98,0.00,EXPANSION
534,16011.54,-0.32,EXPANSION
535,16049.20,-0.09,EXPANSION
536,16092.60,0.00,EXPANSION
537,16019.32,-0.46,EXPANSION
538,16233.93,0.00,EXPANSION
539,16144.77,-0.55,EXPANSION
540,16172.68,-0.38,EXPANSION
541,16140.98,-0.57,EXPANSION
542,16160.37,-0.45,EXPANSION
543,16098.81,-0.83,EXPANSION
544,16035.55,-1.22,EXPANSION
545,15892.75,-2.10,EXPANSION
546,15903.58,-2.03,EXPANSION
547,15858.49,-2.31,EXPANSION
548,15964.22,-1.66,EXPANSION
549,16042.12,-1.18,EXPANSION
550,16108.76,-0.77,EXPANSION
551,16078.46,-0.96,EXPANSION
552,16291.99,0.00,EXPANSION
