Día,Valor,Drawdown,Régimen
336,12165.03,-0.75,EXPANSION
337,12148.04,-0.89,EXPANSION
338,12142.22,-0.93,EXPANSION
339,12097.45,-1.30,EXPANSION
340,12134.86,-0.99,EXPANSION
341,12147.44,-0.89,EXPANSION
342,12116.53,-1.14,EXPANSION
343,12176.23,-0.66,EXPANSION
344,12143.04,-0.93,EXPANSION
345,12161.33,-0.78,EXPANSION
346,12160.17,-0.79,EXPANSION
347,12130.91,-1.03,EXPANSION
348,12134.02,-1.00,EXPANSION
349,12065.66,-1.56,EXPANSION
350,12050.29,-1.68,EXPANSION
351,12035.99,-1.80,EXPANSION
352,12007.20,-2.04,EXPANSION
353,12019.14,-1.94,EXPANSION
354,12059.24,-1.61,EXPANSION
355,12029.25,-1.86,EXPANSION
356,11969.71,-2.34,EXPANSION
357,12005.51,-2.05,EXPANSION
358,12095.22,-1.32,EXPANSION
359,12163.30,-0.76,EXPANSION
360,12193.57,-0.52,EXPANSION
361,12187.72,-0.56,EXPANSION
362,12290.54,0.00,EXPANSION
363,12268.07,-0.18,EXPANSION
364,12255.31,-0.29,EXPANSION
365,12001.40,-2.35,EXPANSION
366,12003.18,-2.34,EXPANSION
367,11957.01,-2.71,EXPANSION
368,12065.39,-1.83,EXPANSION
369,11911.44,-3.08,EXPANSION
370,11943.77,-2.82,EXPANSION
371,12032.60,-2.10,EXPANSION
372,11992.85,-2.42,EXPANSION
373,11990.06,-2.44,EXPANSION
374,12001.06,-2.36,EXPANSION
375,12035.22,-2.08,EXPANSION
376,12044.44,-2.00,EXPANSION
377,12172.10,-0.96,EXPANSION
378,12086.64,-1.66,EXPANSION
379,12020.74,-2.20,EXPANSION
380,12020.13,-2.20,EXPANSION
381,12015.00,-2.24,EXPANSION
382,11937.94,-2.87,EXPANSION
383,11983.60,-2.50,EXPANSION
384,11997.24,-2.39,EXPANSION
385,11961.78,-2.67,EXPANSION
386,12035.54,-2.07,EXPANSION
387,12047.52,-1.98,EXPANSION
388,12038.85,-2.05,EXPANSION
389,12001.03,-2.36,EXPANSION
390,11869.52,-3.43,EXPANSION
391,11924.62,-2.98,EXPANSION
392,11904.58,-3.14,EXPANSION
393,11930.44,-2.93,EXPANSION
394,11935.92,-2.89,EXPANSION
395,11929.44,-2.94,EXPANSION
396,11973.95,-2.58,EXPANSION
397,11889.49,-3.26,EXPANSION
398,11878.27,-3.35,EXPANSION
399,11842.22,-3.65,EXPANSION
400,11859.71,-3.51,EXPANSION
401,11855.13,-3.54,EXPANSION
402,11863.05,-3.48,EXPANSION
403,11844.86,-3.63,EXPANSION
404,11919.53,-3.02,EXPANSION
405,11908.00,-3.11,EXPANSION
406,11891.46,-3.25,EXPANSION
407,11883.97,-3.31,EXPANSION
408,11949.60,-2.77,EXPANSION
409,11949.02,-2.78,EXPANSION
410,11970.64,-2.60,EXPANSION
411,11973.32,-2.58,EXPANSION
412,11994.52,-2.41,EXPANSION
413,11994.29,-2.41,EXPANSION
414,11973.17,-2.58,EXPANSION
415,12034.74,-2.08,EXPANSION
416,12004.39,-2.33,EXPANSION
417,12002.47,-2.34,EXPANSION
418,11984.31,-2.49,EXPANSION
419,11994.16,-2.41,EXPANSION
420,11825.81,-3.78,EXPANSION
421,11829.29,-3.75,EXPANSION
422,11829.73,-3.75,EXPANSION
423,11849.20,-3.59,EXPANSION
424,11986.70,-2.47,EXPANSION
425,12049.68,-1.96,EXPANSION
426,12029.50,-2.12,EXPANSION
427,11935.63,-2.89,EXPANSION
428,11910.48,-3.09,EXPANSION
429,11883.51,-3.31,EXPANSION
430,11876.23,-3.37,EXPANSION
431,11790.61,-4.07,EXPANSION
432,11959.57,-2.69,EXPANSION
433,12035.19,-2.08,EXPANSION
434,12080.74,-1.71,EXPANSION
435,12057.98,-1.89,EXPANSION
436,12058.05,-1.89,EXPANSION
437,12010.86,-2.28,EXPANSION
438,12104.70,-1.51,EXPANSION
439,12194.78,-0.78,EXPANSION
440,12094.41,-1.60,EXPANSION
441,11957.53,-2.71,EXPANSION
442,11975.40,-2.56,EXPANSION
443,11960.94,-2.68,EXPANSION
444,11953.17,-2.74,EXPANSION
445,12001.94,-2.35,EXPANSION
446,11990.39,-2.44,EXPANSION
447,11947.31,-2.79,EXPANSION
448,11838.32,-3.68,EXPANSION
449,11951.64,-2.76,EXPANSION
450,11936.74,-2.88,EXPANSION
451,11942.74,-2.83,EXPANSION
452,11957.57,-2.71,EXPANSION
453,12024.80,-2.16,EXPANSION
454,12196.73,-0.76,EXPANSION
455,12247.22,-0.35,EXPANSION
456,12306.10,0.00,EXPANSION
457,12310.32,0.00,EXPANSION
458,12299.15,-0.09,EXPANSION
459,12285.38,-0.20,EXPANSION
460,12390.24,0.00,EXPANSION
461,12238.72,-1.22,EXPANSION
462,12259.74,-1.05,EXPANSION
463,12283.26,-0.86,EXPANSION
464,12296.50,-0.76,EXPANSION
465,12295.84,-0.76,EXPANSION
466,12298.70,-0.74,EXPANSION
467,12337.79,-0.42,EXPANSION
468,12377.14,-0.11,EXPANSION
469,12410.06,0.00,EXPANSION
470,12544.22,0.00,EXPANSION
471,12499.20,-0.36,EXPANSION
472,12493.96,-0.40,EXPANSION
473,12516.71,-0.22,EXPANSION
474,12625.78,0.00,EXPANSION
475,12657.03,0.00,EXPANSION
476,12726.00,0.00,EXPANSION
477,12638.20,-0.69,EXPANSION
478,12642.90,-0.65,EXPANSION
479,12707.71,-0.14,EXPANSION
480,12750.31,0.00,EXPANSION
481,12914.97,0.00,EXPANSION
482,13216.22,0.00,EXPANSION
483,13097.62,-0.90,EXPANSION
484,12925.74,-2.20,EXPANSION
485,12938.81,-2.10,EXPANSION
486,12944.13,-2.06,EXPANSION
487,12964.16,-1.91,EXPANSION
488,13159.65,-0.43,EXPANSION
489,13008.79,-1.57,EXPANSION
490,13074.18,-1.07,EXPANSION
491,13215.26,-0.01,EXPANSION
492,13202.49,-0.10,EXPANSION
493,13210.30,-0.04,EXPANSION
494,13232.66,0.00,EXPANSION
495,13371.07,0.00,EXPANSION
496,13195.88,-1.31,EXPANSION
497,13260.24,-0.83,EXPANSION
498,13295.79,-0.56,EXPANSION
499,13352.58,-0.14,EXPANSION
500,13358.55,-0.09,EXPANSION
501,13466.53,0.00,EXPANSION
502,13612.91,0.00,EXPANSION
503,13667.32,0.00,EXPANSION
504,13488.40,-1.31,EXPANSION
505,13544.99,-0.90,EXPANSION
506,13548.86,-0.87,EXPANSION
507,13544.46,-0.90,EXPANSION
508,13461.03,-1.51,EXPANSION
509,13581.48,-0.63,EXPANSION
510,13557.28,-0.81,EXPANSION
511,13576.38,-0.67,EXPANSION
512,13675.21,0.00,EXPANSION
513,13699.85,0.00,EXPANSION
514,13670.65,-0.21,EXPANSION
515,13698.81,-0.01,EXPANSION
