Día,Valor,Drawdown,Régimen
238,10583.81,-2.77,EXPANSION
239,10654.67,-2.12,EXPANSION
240,10651.43,-2.15,EXPANSION
241,10651.47,-2.15,EXPANSION
242,10600.93,-2.61,EXPANSION
243,10654.48,-2.12,EXPANSION
244,10628.57,-2.36,EXPANSION
245,10588.76,-2.73,EXPANSION
246,10559.62,-2.99,EXPANSION
247,10559.63,-2.99,EXPANSION
248,10565.38,-2.94,EXPANSION
249,10650.05,-2.16,EXPANSION
250,10600.08,-2.62,EXPANSION
251,10569.16,-2.91,EXPANSION
252,10340.58,-5.01,EXPANSION
253,10432.31,-4.16,EXPANSION
254,10433.82,-4.15,EXPANSION
255,10422.44,-4.25,EXPANSION
256,10441.77,-4.08,EXPANSION
257,10502.41,-3.52,EXPANSION
258,10548.52,-3.10,EXPANSION
259,10580.52,-2.80,EXPANSION
260,10642.23,-2.24,EXPANSION
261,10801.19,-0.78,EXPANSION
262,10791.49,-0.86,EXPANSION
263,10811.05,-0.68,EXPANSION
264,10818.42,-0.62,EXPANSION
265,10839.89,-0.42,EXPANSION
266,10889.42,0.00,EXPANSION
267,11048.45,0.00,EXPANSION
268,11057.02,0.00,EXPANSION
269,11062.45,0.00,EXPANSION
270,11166.10,0.00,EXPANSION
271,11197.06,0.00,EXPANSION
272,11249.79,0.00,EXPANSION
273,11226.91,-0.20,EXPANSION
274,11117.81,-1.17,EXPANSION
275,11188.22,-0.55,EXPANSION
276,11340.49,0.00,EXPANSION
277,11352.63,0.00,EXPANSION
278,11271.53,-0.71,EXPANSION
279,11307.78,-0.40,EXPANSION
280,11428.61,0.00,EXPANSION
281,11405.28,-0.20,EXPANSION
282,11419.21,-0.08,EXPANSION
283,11433.47,0.00,EXPANSION
284,11453.60,0.00,EXPANSION
285,11305.29,-1.29,EXPANSION
286,11132.34,-2.80,EXPANSION
287,11312.71,-1.23,EXPANSION
288,11136.81,-2.77,EXPANSION
289,11136.44,-2.77,EXPANSION
290,11061.61,-3.42,EXPANSION
291,10969.07,-4.23,EXPANSION
292,11101.41,-3.07,EXPANSION
293,11221.93,-2.02,EXPANSION
294,11409.75,-0.38,EXPANSION
295,11457.86,0.00,EXPANSION
296,11515.90,0.00,EXPANSION
297,11423.77,-0.80,EXPANSION
298,11477.97,-0.33,EXPANSION
299,11364.70,-1.31,EXPANSION
300,11398.94,-1.02,EXPANSION
301,11321.69,-1.69,EXPANSION
302,11515.53,-0.00,EXPANSION
303,11481.92,-0.30,EXPANSION
304,11478.40,-0.33,EXPANSION
305,11497.02,-0.16,EXPANSION
306,11616.13,0.00,EXPANSION
307,11602.51,-0.12,EXPANSION
308,11664.10,0.00,EXPANSION
309,11646.49,-0.15,EXPANSION
310,11641.03,-0.20,EXPANSION
311,11682.20,0.00,EXPANSION
312,11736.74,0.00,EXPANSION
313,11699.73,-0.32,EXPANSION
314,11717.83,-0.16,EXPANSION
315,11563.91,-1.47,EXPANSION
316,11549.01,-1.60,EXPANSION
317,11559.96,-1.51,EXPANSION
318,11572.59,-1.40,EXPANSION
319,11510.68,-1.93,EXPANSION
