ticker,entry_date,exit_date,entry_price,exit_price,return_pct,pnl_eur,reason
MNST,2021-01-19,2021-01-19,46.17,45.20,-2.25,-22.54,SL
MNST,2021-09-23,2021-09-27,46.30,45.90,-1.02,-10.25,OB_Inv
MNST,2022-04-26,2022-04-26,42.92,43.44,1.05,10.51,TP
MNST,2022-04-27,2022-04-27,42.99,43.66,1.39,13.86,TP
MNST,2022-04-28,2022-04-29,43.43,42.66,-1.92,-19.18,SL
MNST,2022-07-06,2022-08-05,48.12,46.15,-4.25,-42.52,SL
MNST,2022-12-01,2022-12-15,51.38,49.83,-3.17,-31.67,OB_Inv
MNST,2022-12-19,2022-12-22,50.50,49.73,-1.67,-16.74,SL
MNST,2022-12-28,2023-01-20,51.17,49.75,-2.92,-29.20,SL
MNST,2023-01-23,2023-01-24,50.10,50.80,1.25,12.47,TP
MNST,2023-01-25,2023-03-01,51.00,49.60,-2.90,-29.05,OB_Inv
MNST,2023-03-21,2023-03-22,52.38,51.17,-2.44,-24.41,OB_Inv
MNST,2023-04-10,2023-04-27,52.28,54.77,4.61,46.12,TP
MNST,2023-05-11,2023-05-23,59.26,57.94,-2.38,-23.77,OB_Inv
MNST,2024-01-09,2024-01-09,57.62,58.19,0.85,8.48,TP
MNST,2024-01-10,2024-01-17,58.75,57.11,-2.94,-29.41,OB_Inv
MNST,2024-03-07,2024-03-12,58.46,59.93,2.36,23.62,TP
MNST,2024-09-04,2024-09-09,48.22,50.97,5.54,55.43,TP
MNST,2024-10-07,2024-10-07,50.63,49.49,-2.41,-24.09,SL
MNST,2024-10-21,2024-10-22,54.06,53.29,-1.58,-15.80,SL
MNST,2024-10-24,2024-10-24,53.43,53.29,-0.40,-4.05,SL
MNST,2024-10-25,2024-10-25,53.76,53.30,-1.01,-10.10,SL
MNST,2024-11-12,2024-11-15,55.65,52.00,-6.71,-67.09,OB_Inv
MNST,2025-03-04,2025-03-12,55.34,54.40,-1.85,-18.49,OB_Inv
MNST,2025-04-10,2025-05-27,57.93,64.26,10.78,107.83,TP
MNST,2025-09-17,2025-09-19,66.38,64.13,-3.54,-35.40,OB_Inv
MNST,2025-10-15,2025-10-29,68.47,66.56,-2.94,-29.40,OB_Inv
MNST,2025-11-12,2025-12-19,71.81,76.49,6.36,63.60,TP
MO,2020-06-16,2020-09-17,25.98,26.31,1.09,10.89,SL
MO,2020-12-17,2020-12-24,27.64,27.05,-2.28,-22.78,SL
MO,2021-01-29,2021-01-29,27.73,27.37,-1.47,-14.69,SL
MO,2021-03-02,2021-03-08,29.28,30.77,4.93,49.34,TP
MO,2021-07-30,2021-08-04,32.95,31.96,-3.16,-31.61,OB_Inv
MO,2021-09-03,2021-09-13,34.59,33.96,-1.98,-19.78,SL
MO,2022-01-04,2022-01-10,33.85,35.61,5.04,50.42,TP
MO,2022-01-18,2022-01-24,35.94,34.80,-3.33,-33.30,SL
MO,2022-02-28,2022-03-22,35.88,37.98,5.69,56.88,TP
MO,2022-04-26,2022-04-28,39.69,39.21,-1.36,-13.64,SL
MO,2022-04-29,2022-05-02,40.13,39.19,-2.50,-24.97,SL
MO,2023-01-25,2023-03-17,34.15,34.49,0.84,8.44,SL
MO,2023-04-28,2023-05-02,36.99,36.30,-2.02,-20.22,SL
MO,2023-08-09,2023-08-15,35.22,34.27,-2.84,-28.39,OB_Inv
MO,2023-09-15,2023-09-15,35.74,35.54,-0.69,-6.94,SL
MO,2024-03-19,2024-04-03,37.11,35.85,-3.54,-35.41,OB_Inv
MO,2024-07-25,2024-07-31,43.26,42.63,-1.60,-15.98,OB_Inv
MO,2024-08-02,2024-08-28,43.83,46.28,5.44,54.41,TP
MO,2024-09-10,2024-09-11,47.07,46.25,-1.89,-18.87,OB_Inv
MO,2024-11-13,2024-11-15,48.54,49.54,1.92,19.16,TP
MO,2024-12-13,2024-12-17,48.65,48.01,-1.46,-14.63,OB_Inv
MO,2025-01-31,2025-02-03,46.39,47.55,2.36,23.63,TP
MO,2025-03-07,2025-03-10,51.40,53.36,3.66,36.56,TP
