ticker,sector,action,entry_price,stop_loss,take_profit,rr_ratio,shares,size_eur,risk_eur,weight_pct,score,quintile,confidence,z_score,viable,remaining_cash_after,notes
LUV,,AVOID,42.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,1,LOW,0.94,,,SHORT/SKIP | z=0.9
DG,,AVOID,110.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,1,LOW,0.94,,,SHORT/SKIP | z=0.9
PSX,,AVOID,178.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,1,LOW,0.94,,,SHORT/SKIP | z=0.9
BXP,,AVOID,67.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1,1,LOW,0.93,,,SHORT/SKIP | z=0.9
UAL,,AVOID,108.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,1,LOW,0.93,,,SHORT/SKIP | z=0.9
CPRT,,AVOID,31.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,1,LOW,0.91,,,SHORT/SKIP | z=0.9
LYV,,AVOID,159.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6,1,LOW,0.9,,,SHORT/SKIP | z=0.9
A,,AVOID,136.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,1,LOW,0.89,,,SHORT/SKIP | z=0.9
AMCR,,AVOID,38.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1,LOW,0.89,,,SHORT/SKIP | z=0.9
ABNB,,AVOID,134.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2,1,LOW,0.88,,,SHORT/SKIP | z=0.9
INTU,,AVOID,300.755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,1,LOW,0.88,,,SHORT/SKIP | z=0.9
WMB,,AVOID,70.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6,1,LOW,0.87,,,SHORT/SKIP | z=0.9
BG,,AVOID,124.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,1,LOW,0.87,,,SHORT/SKIP | z=0.9
GPN,,AVOID,64.8825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,1,LOW,0.86,,,SHORT/SKIP | z=0.9
XYZ,,AVOID,68.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1,1,LOW,0.83,,,SHORT/SKIP | z=0.8
JKHY,,AVOID,126.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.3,1,LOW,0.82,,,SHORT/SKIP | z=0.8
EW,,AVOID,86.695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,1,LOW,0.8,,,SHORT/SKIP | z=0.8
TRGP,,AVOID,261.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7,1,LOW,0.8,,,SHORT/SKIP | z=0.8
ADM,,AVOID,79.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9,1,LOW,0.8,,,SHORT/SKIP | z=0.8
OMC,,AVOID,75.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1,1,LOW,0.77,,,SHORT/SKIP | z=0.8
DDOG,,AVOID,229.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2,1,LOW,0.76,,,SHORT/SKIP | z=0.8
SCHW,,AVOID,87.2303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,1,LOW,0.76,,,SHORT/SKIP | z=0.8
SWKS,,AVOID,74.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,1,LOW,0.76,,,SHORT/SKIP | z=0.8
BA,,AVOID,217.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,1,LOW,0.74,,,SHORT/SKIP | z=0.7
AMZN,,AVOID,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1,LOW,0.74,,,SHORT/SKIP | z=0.7
HSY,,AVOID,175.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,1,LOW,0.74,,,SHORT/SKIP | z=0.7
ADP,,AVOID,229.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,1,LOW,0.73,,,SHORT/SKIP | z=0.7
ANET,,AVOID,152.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,1,LOW,0.72,,,SHORT/SKIP | z=0.7
BALL,,AVOID,53.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,1,LOW,0.72,,,SHORT/SKIP | z=0.7
PAYX,,AVOID,98.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9,1,LOW,0.71,,,SHORT/SKIP | z=0.7
EME,,AVOID,821.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,1,LOW,0.71,,,SHORT/SKIP | z=0.7
D,,AVOID,65.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,1,LOW,0.7,,,SHORT/SKIP | z=0.7
NDAQ,,AVOID,87.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,1,LOW,0.69,,,SHORT/SKIP | z=0.7
VZ,,AVOID,45.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.7,1,LOW,0.68,,,SHORT/SKIP | z=0.7
CTSH,,AVOID,53.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,1,LOW,0.68,,,SHORT/SKIP | z=0.7
KMI,,AVOID,31.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1,LOW,0.68,,,SHORT/SKIP | z=0.7
OKE,,AVOID,86.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,1,LOW,0.67,,,SHORT/SKIP | z=0.7
CMG,,AVOID,30.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4,1,LOW,0.67,,,SHORT/SKIP | z=0.7
LDOS,,AVOID,123.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,1,LOW,0.65,,,SHORT/SKIP | z=0.7
ORCL,,AVOID,208.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,1,LOW,0.65,,,SHORT/SKIP | z=0.7
TKO,,AVOID,205.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1,LOW,0.64,,,SHORT/SKIP | z=0.6
GOOGL,,AVOID,364.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,1,LOW,0.64,,,SHORT/SKIP | z=0.6
MSCI,,AVOID,607.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4,1,LOW,0.64,,,SHORT/SKIP | z=0.6
GOOG,,AVOID,362.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,1,LOW,0.64,,,SHORT/SKIP | z=0.6
NRG,,AVOID,129.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,1,LOW,0.63,,,SHORT/SKIP | z=0.6
WAB,,AVOID,263.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9,1,LOW,0.6,,,SHORT/SKIP | z=0.6
